time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-02-21 03:00:00 UTC+0000,8.6675,0.325,0.68,0.325
2021-02-21 07:00:00 UTC+0000,1.9975,0.25,0.195,0.25
2021-02-21 11:00:00 UTC+0000,3.0,1.25,1.25,1.25
2021-02-21 15:00:00 UTC+0000,0.75,0.26,0.2,0.26
2021-02-21 19:00:00 UTC+0000,1.25,0.25,0.78,0.25
2021-02-21 23:00:00 UTC+0000,2.35,0.75,6.0,0.96
2021-02-22 03:00:00 UTC+0000,1.85,0.75,8.6675,1.0325
2021-02-22 07:00:00 UTC+0000,0.52,0.17,1.9975,0.1575
2021-02-22 11:00:00 UTC+0000,0.9475,0.2475,3.0,0.4525
2021-02-22 15:00:00 UTC+0000,0.3625,0.1875,0.75,0.1825
2021-02-22 19:00:00 UTC+0000,0.52,0.65,1.25,0.1725
2021-02-22 23:00:00 UTC+0000,1.0,2.35,2.35,0.6
2021-02-23 03:00:00 UTC+0000,1.0,1.85,1.85,0.67
2021-02-23 07:00:00 UTC+0000,0.4375,0.52,0.52,0.1225
2021-02-23 11:00:00 UTC+0000,0.75,0.9475,0.9475,0.24
2021-02-23 15:00:00 UTC+0000,0.375,0.3625,0.3625,0.14
2021-02-23 19:00:00 UTC+0000,0.75,0.52,0.52,0.525
2021-02-23 23:00:00 UTC+0000,0.7325,1.0,1.0,0.925
2021-02-24 03:00:00 UTC+0000,0.8675,1.0,1.0,1.25
2021-02-24 07:00:00 UTC+0000,0.5,0.4375,0.4375,0.22
2021-02-24 11:00:00 UTC+0000,2.255,0.75,0.75,0.2725
2021-02-24 15:00:00 UTC+0000,0.285,0.375,0.375,0.1825
2021-02-24 19:00:00 UTC+0000,0.5525,0.75,0.75,0.3525
2021-02-24 23:00:00 UTC+0000,1.0,0.7325,0.7325,0.875
2021-02-25 03:00:00 UTC+0000,0.75,0.8675,0.8675,0.96
2021-02-25 07:00:00 UTC+0000,0.3925,0.5,0.5,0.19
2021-02-25 11:00:00 UTC+0000,1.275,2.255,2.255,0.4325
2021-02-25 15:00:00 UTC+0000,0.245,0.285,0.285,0.3175
2021-02-25 19:00:00 UTC+0000,0.5,0.5525,0.5525,1.25
2021-02-25 23:00:00 UTC+0000,0.7,1.0,1.0,0.75
2021-02-26 03:00:00 UTC+0000,0.6075,0.75,0.75,0.75
2021-02-26 07:00:00 UTC+0000,0.275,0.3925,0.3925,0.17
2021-02-26 11:00:00 UTC+0000,0.75,1.275,1.275,0.2475
2021-02-26 15:00:00 UTC+0000,0.2125,0.245,0.245,0.1875
2021-02-26 19:00:00 UTC+0000,0.37,0.5,0.5,0.65
2021-02-26 23:00:00 UTC+0000,0.5,0.51,0.7,0.51
2021-02-27 03:00:00 UTC+0000,0.52,0.68,0.6075,0.68
2021-02-27 07:00:00 UTC+0000,0.275,0.195,0.275,0.195
2021-02-27 11:00:00 UTC+0000,0.75,1.25,0.75,1.25
2021-02-27 15:00:00 UTC+0000,0.1825,0.2,0.2125,0.2
2021-02-27 19:00:00 UTC+0000,0.5,0.78,0.37,0.78
2021-02-27 23:00:00 UTC+0000,1.07,6.0,0.5,6.0
2021-02-28 03:00:00 UTC+0000,1.4975,8.6675,0.52,8.6675
2021-02-28 07:00:00 UTC+0000,1.1475,1.9975,0.275,1.9975
2021-02-28 11:00:00 UTC+0000,2.0,3.0,0.75,3.0
2021-02-28 15:00:00 UTC+0000,0.625,0.75,0.1825,0.75
2021-02-28 19:00:00 UTC+0000,0.31,1.25,0.5,1.25
2021-02-28 23:00:00 UTC+0000,0.7,0.7,1.07,2.35
2021-03-01 03:00:00 UTC+0000,0.895,0.6075,1.4975,1.85
2021-03-01 07:00:00 UTC+0000,0.47,0.275,1.1475,0.52
2021-03-01 11:00:00 UTC+0000,0.87,0.75,2.0,0.9475
2021-03-01 15:00:00 UTC+0000,0.3725,0.2125,0.625,0.3625
2021-03-01 19:00:00 UTC+0000,0.2,0.37,0.31,0.52
2021-03-01 23:00:00 UTC+0000,0.55,0.7,0.7,1.0
2021-03-02 03:00:00 UTC+0000,0.525,0.895,0.895,1.0
2021-03-02 07:00:00 UTC+0000,0.2625,0.47,0.47,0.4375
2021-03-02 11:00:00 UTC+0000,0.5,0.87,0.87,0.75
2021-03-02 15:00:00 UTC+0000,0.245,0.3725,0.3725,0.375
2021-03-02 19:00:00 UTC+0000,0.155,0.2,0.2,0.75
2021-03-02 23:00:00 UTC+0000,0.4375,0.55,0.55,0.7325
2021-03-03 03:00:00 UTC+0000,0.425,0.525,0.525,0.8675
2021-03-03 07:00:00 UTC+0000,0.205,0.2625,0.2625,0.5
2021-03-03 11:00:00 UTC+0000,0.28,0.5,0.5,2.255
2021-03-03 15:00:00 UTC+0000,0.195,0.245,0.245,0.285
2021-03-03 19:00:00 UTC+0000,0.125,0.155,0.155,0.5525
2021-03-03 23:00:00 UTC+0000,0.36,0.4375,0.4375,1.0
2021-03-04 03:00:00 UTC+0000,0.3275,0.425,0.425,0.75
2021-03-04 07:00:00 UTC+0000,0.175,0.205,0.205,0.3925
2021-03-04 11:00:00 UTC+0000,0.21,0.28,0.28,1.275
2021-03-04 15:00:00 UTC+0000,0.15,0.195,0.195,0.245
2021-03-04 19:00:00 UTC+0000,0.105,0.125,0.125,0.5
2021-03-04 23:00:00 UTC+0000,0.255,0.36,0.36,0.7
2021-03-05 03:00:00 UTC+0000,0.205,0.3275,0.3275,0.6075
2021-03-05 07:00:00 UTC+0000,0.135,0.175,0.175,0.275
2021-03-05 11:00:00 UTC+0000,0.175,0.21,0.21,0.75
2021-03-05 15:00:00 UTC+0000,0.11,0.15,0.15,0.2125
2021-03-05 19:00:00 UTC+0000,0.09,0.105,0.105,0.37
2021-03-05 23:00:00 UTC+0000,0.2025,0.5,0.255,0.5
2021-03-06 03:00:00 UTC+0000,0.2075,0.52,0.205,0.52
2021-03-06 07:00:00 UTC+0000,0.25,0.275,0.135,0.275
2021-03-06 11:00:00 UTC+0000,1.5,0.75,0.175,0.75
2021-03-06 15:00:00 UTC+0000,0.1375,0.1825,0.11,0.1825
2021-03-06 19:00:00 UTC+0000,0.1125,0.5,0.09,0.5
2021-03-06 23:00:00 UTC+0000,0.3875,1.07,0.2025,1.07
2021-03-07 03:00:00 UTC+0000,0.5575,1.4975,0.2075,1.4975
2021-03-07 07:00:00 UTC+0000,0.72,1.1475,0.25,1.1475
2021-03-07 11:00:00 UTC+0000,1.49,2.0,1.5,2.0
2021-03-07 15:00:00 UTC+0000,0.39,0.625,0.1375,0.625
2021-03-07 19:00:00 UTC+0000,0.125,0.31,0.1125,0.31
2021-03-07 23:00:00 UTC+0000,0.205,0.255,0.3875,0.7
2021-03-08 03:00:00 UTC+0000,0.225,0.205,0.5575,0.895
2021-03-08 07:00:00 UTC+0000,0.205,0.135,0.72,0.47
2021-03-08 11:00:00 UTC+0000,0.6,0.175,1.49,0.87
2021-03-08 15:00:00 UTC+0000,0.175,0.11,0.39,0.3725
2021-03-08 19:00:00 UTC+0000,0.09,0.09,0.125,0.2
2021-03-08 23:00:00 UTC+0000,0.1375,0.205,0.205,0.55
2021-03-09 03:00:00 UTC+0000,0.1575,0.225,0.225,0.525
2021-03-09 07:00:00 UTC+0000,0.1375,0.205,0.205,0.2625
2021-03-09 11:00:00 UTC+0000,0.25,0.6,0.6,0.5
2021-03-09 15:00:00 UTC+0000,0.11,0.175,0.175,0.245
2021-03-09 19:00:00 UTC+0000,0.085,0.09,0.09,0.155
