time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-01-18 00:00:00 UTC+0000,47.94,48.66,47.74,44.74
2021-01-18 01:00:00 UTC+0000,47.67,47.7,47.18,45.06
2021-01-18 02:00:00 UTC+0000,46.6,46.6,46.09,44.07
2021-01-18 03:00:00 UTC+0000,46.72,48.0,45.8,44.53
2021-01-18 04:00:00 UTC+0000,47.58,51.52,45.42,42.74
2021-01-18 05:00:00 UTC+0000,61.19,62.97,46.46,54.62
2021-01-18 06:00:00 UTC+0000,73.06,77.94,47.64,67.11
2021-01-18 07:00:00 UTC+0000,78.92,94.07,47.42,70.59
2021-01-18 08:00:00 UTC+0000,75.65,97.76,51.13,58.32
2021-01-18 09:00:00 UTC+0000,72.03,90.69,56.5,55.89
2021-01-18 10:00:00 UTC+0000,66.39,86.97,59.94,54.49
2021-01-18 11:00:00 UTC+0000,60.06,79.25,55.51,53.35
2021-01-18 12:00:00 UTC+0000,57.7,76.64,52.82,48.39
2021-01-18 13:00:00 UTC+0000,59.41,77.14,49.95,49.57
2021-01-18 14:00:00 UTC+0000,57.39,76.98,53.48,50.96
2021-01-18 15:00:00 UTC+0000,54.54,82.0,60.6,49.12
2021-01-18 16:00:00 UTC+0000,59.94,99.5,67.05,53.44
2021-01-18 17:00:00 UTC+0000,55.08,98.02,72.0,47.94
2021-01-18 18:00:00 UTC+0000,51.42,95.01,67.78,42.16
2021-01-18 19:00:00 UTC+0000,46.97,77.2,62.45,38.03
2021-01-18 20:00:00 UTC+0000,45.63,67.18,56.61,34.24
2021-01-18 21:00:00 UTC+0000,42.95,63.19,57.07,34.01
2021-01-18 22:00:00 UTC+0000,37.83,55.42,51.34,27.39
2021-01-18 23:00:00 UTC+0000,36.68,50.22,50.22,18.96
2021-01-19 00:00:00 UTC+0000,35.94,47.94,47.94,15.82
2021-01-19 01:00:00 UTC+0000,34.74,47.67,47.67,19.0
2021-01-19 02:00:00 UTC+0000,35.96,46.6,46.6,24.14
2021-01-19 03:00:00 UTC+0000,36.7,46.72,46.72,27.0
2021-01-19 04:00:00 UTC+0000,37.95,47.58,47.58,35.94
2021-01-19 05:00:00 UTC+0000,41.59,61.19,61.19,40.96
2021-01-19 06:00:00 UTC+0000,46.68,73.06,73.06,54.51
2021-01-19 07:00:00 UTC+0000,55.15,78.92,78.92,60.64
2021-01-19 08:00:00 UTC+0000,54.5,75.65,75.65,54.96
2021-01-19 09:00:00 UTC+0000,52.73,72.03,72.03,56.5
2021-01-19 10:00:00 UTC+0000,54.5,66.39,66.39,57.88
2021-01-19 11:00:00 UTC+0000,52.21,60.06,60.06,59.64
2021-01-19 12:00:00 UTC+0000,52.11,57.7,57.7,54.94
2021-01-19 13:00:00 UTC+0000,52.37,59.41,59.41,51.55
2021-01-19 14:00:00 UTC+0000,51.34,57.39,57.39,55.56
2021-01-19 15:00:00 UTC+0000,51.89,54.54,54.54,63.01
2021-01-19 16:00:00 UTC+0000,54.7,59.94,59.94,64.6
2021-01-19 17:00:00 UTC+0000,52.75,55.08,55.08,61.89
2021-01-19 18:00:00 UTC+0000,45.39,51.42,51.42,54.9
2021-01-19 19:00:00 UTC+0000,40.37,46.97,46.97,53.25
2021-01-19 20:00:00 UTC+0000,37.28,45.63,45.63,44.84
2021-01-19 21:00:00 UTC+0000,35.39,42.95,42.95,38.68
2021-01-19 22:00:00 UTC+0000,29.98,37.83,37.83,37.24
2021-01-19 23:00:00 UTC+0000,30.33,36.68,36.68,34.59
2021-01-20 00:00:00 UTC+0000,28.4,35.94,35.94,33.47
2021-01-20 01:00:00 UTC+0000,26.62,34.74,34.74,32.36
2021-01-20 02:00:00 UTC+0000,25.13,35.96,35.96,30.84
2021-01-20 03:00:00 UTC+0000,28.76,36.7,36.7,31.68
2021-01-20 04:00:00 UTC+0000,30.92,37.95,37.95,36.81
2021-01-20 05:00:00 UTC+0000,35.56,41.59,41.59,41.87
2021-01-20 06:00:00 UTC+0000,40.23,46.68,46.68,46.21
2021-01-20 07:00:00 UTC+0000,42.27,55.15,55.15,56.14
2021-01-20 08:00:00 UTC+0000,38.9,54.5,54.5,47.71
2021-01-20 09:00:00 UTC+0000,38.01,52.73,52.73,46.23
2021-01-20 10:00:00 UTC+0000,37.95,54.5,54.5,43.82
2021-01-20 11:00:00 UTC+0000,37.92,52.21,52.21,41.22
2021-01-20 12:00:00 UTC+0000,36.84,52.11,52.11,40.04
2021-01-20 13:00:00 UTC+0000,36.8,52.37,52.37,39.47
2021-01-20 14:00:00 UTC+0000,38.92,51.34,51.34,41.17
2021-01-20 15:00:00 UTC+0000,40.3,51.89,51.89,45.91
2021-01-20 16:00:00 UTC+0000,51.39,54.7,54.7,55.49
2021-01-20 17:00:00 UTC+0000,57.52,52.75,52.75,54.51
2021-01-20 18:00:00 UTC+0000,45.34,45.39,45.39,49.28
2021-01-20 19:00:00 UTC+0000,35.9,40.37,40.37,48.65
2021-01-20 20:00:00 UTC+0000,31.97,37.28,37.28,41.89
2021-01-20 21:00:00 UTC+0000,29.49,35.39,35.39,41.0
2021-01-20 22:00:00 UTC+0000,25.3,29.98,29.98,38.97
2021-01-20 23:00:00 UTC+0000,24.85,30.33,30.33,37.3
2021-01-21 00:00:00 UTC+0000,19.32,28.4,28.4,36.91
2021-01-21 01:00:00 UTC+0000,8.94,26.62,26.62,36.98
2021-01-21 02:00:00 UTC+0000,0.9,25.13,25.13,39.82
2021-01-21 03:00:00 UTC+0000,0.02,28.76,28.76,43.2
2021-01-21 04:00:00 UTC+0000,13.69,30.92,30.92,46.45
2021-01-21 05:00:00 UTC+0000,27.47,35.56,35.56,60.04
2021-01-21 06:00:00 UTC+0000,35.32,40.23,40.23,79.9
2021-01-21 07:00:00 UTC+0000,37.23,42.27,42.27,88.82
2021-01-21 08:00:00 UTC+0000,35.29,38.9,38.9,89.27
2021-01-21 09:00:00 UTC+0000,33.01,38.01,38.01,89.63
2021-01-21 10:00:00 UTC+0000,33.38,37.95,37.95,91.05
2021-01-21 11:00:00 UTC+0000,33.69,37.92,37.92,88.75
2021-01-21 12:00:00 UTC+0000,35.34,36.84,36.84,87.1
2021-01-21 13:00:00 UTC+0000,37.11,36.8,36.8,83.98
2021-01-21 14:00:00 UTC+0000,42.52,38.92,38.92,79.96
2021-01-21 15:00:00 UTC+0000,44.67,40.3,40.3,83.42
2021-01-21 16:00:00 UTC+0000,45.63,51.39,51.39,100.67
2021-01-21 17:00:00 UTC+0000,45.05,57.52,57.52,90.16
2021-01-21 18:00:00 UTC+0000,44.91,45.34,45.34,87.7
2021-01-21 19:00:00 UTC+0000,35.59,35.9,35.9,74.58
2021-01-21 20:00:00 UTC+0000,31.96,31.97,31.97,62.74
2021-01-21 21:00:00 UTC+0000,31.81,29.49,29.49,59.82
2021-01-21 22:00:00 UTC+0000,24.09,25.3,25.3,55.6
2021-01-21 23:00:00 UTC+0000,9.1,24.85,24.85,48.98
2021-01-22 00:00:00 UTC+0000,13.92,19.32,19.32,48.66
2021-01-22 01:00:00 UTC+0000,11.08,8.94,8.94,47.7
2021-01-22 02:00:00 UTC+0000,11.51,0.9,0.9,46.6
2021-01-22 03:00:00 UTC+0000,16.24,0.02,0.02,48.0
2021-01-22 04:00:00 UTC+0000,28.49,13.69,13.69,51.52
2021-01-22 05:00:00 UTC+0000,32.23,27.47,27.47,62.97
2021-01-22 06:00:00 UTC+0000,37.66,35.32,35.32,77.94
