time (UTC),aFRR-_capacity_marginal_price[(EUR/MW)/h]
2021-03-15 23:00:00 UTC+0000,8.3325
2021-03-16 03:00:00 UTC+0000,5.6675
2021-03-16 07:00:00 UTC+0000,2.7525
2021-03-16 11:00:00 UTC+0000,4.21
2021-03-16 15:00:00 UTC+0000,1.91
2021-03-16 19:00:00 UTC+0000,2.25
2021-03-16 23:00:00 UTC+0000,5.04
2021-03-17 03:00:00 UTC+0000,3.25
2021-03-17 07:00:00 UTC+0000,1.675
2021-03-17 11:00:00 UTC+0000,2.51
2021-03-17 15:00:00 UTC+0000,1.385
2021-03-17 19:00:00 UTC+0000,1.575
2021-03-17 23:00:00 UTC+0000,4.285
2021-03-18 03:00:00 UTC+0000,2.48
2021-03-18 07:00:00 UTC+0000,1.1925
2021-03-18 11:00:00 UTC+0000,2.02
2021-03-18 15:00:00 UTC+0000,1.0025
2021-03-18 19:00:00 UTC+0000,1.385
2021-03-18 23:00:00 UTC+0000,3.92
2021-03-19 03:00:00 UTC+0000,2.135
2021-03-19 07:00:00 UTC+0000,0.935
2021-03-19 11:00:00 UTC+0000,1.8
2021-03-19 15:00:00 UTC+0000,0.8775
2021-03-19 19:00:00 UTC+0000,1.0825
2021-03-19 23:00:00 UTC+0000,3.375
2021-03-20 03:00:00 UTC+0000,1.7475
2021-03-20 07:00:00 UTC+0000,0.9725
2021-03-20 11:00:00 UTC+0000,1.9575
2021-03-20 15:00:00 UTC+0000,0.865
2021-03-20 19:00:00 UTC+0000,1.1675
2021-03-20 23:00:00 UTC+0000,5.105
2021-03-21 03:00:00 UTC+0000,12.875
2021-03-21 07:00:00 UTC+0000,12.925
2021-03-21 11:00:00 UTC+0000,12.5
2021-03-21 15:00:00 UTC+0000,4.52
2021-03-21 19:00:00 UTC+0000,1.425
2021-03-21 23:00:00 UTC+0000,4.62
2021-03-22 03:00:00 UTC+0000,5.32
2021-03-22 07:00:00 UTC+0000,4.25
2021-03-22 11:00:00 UTC+0000,4.45
2021-03-22 15:00:00 UTC+0000,1.88
2021-03-22 19:00:00 UTC+0000,1.065
2021-03-22 23:00:00 UTC+0000,4.145
2021-03-23 03:00:00 UTC+0000,3.49
2021-03-23 07:00:00 UTC+0000,2.35
2021-03-23 11:00:00 UTC+0000,2.6075
2021-03-23 15:00:00 UTC+0000,1.17
2021-03-23 19:00:00 UTC+0000,0.88
2021-03-23 23:00:00 UTC+0000,3.3075
2021-03-24 03:00:00 UTC+0000,2.2525
2021-03-24 07:00:00 UTC+0000,1.43
2021-03-24 11:00:00 UTC+0000,2.2525
2021-03-24 15:00:00 UTC+0000,0.96
2021-03-24 19:00:00 UTC+0000,0.8475
2021-03-24 23:00:00 UTC+0000,2.965
2021-03-25 03:00:00 UTC+0000,1.9
2021-03-25 07:00:00 UTC+0000,0.975
2021-03-25 11:00:00 UTC+0000,1.62
2021-03-25 15:00:00 UTC+0000,0.72
2021-03-25 19:00:00 UTC+0000,0.715
2021-03-25 23:00:00 UTC+0000,2.525
2021-03-26 03:00:00 UTC+0000,1.56
2021-03-26 07:00:00 UTC+0000,1.25
2021-03-26 11:00:00 UTC+0000,5.3975
2021-03-26 15:00:00 UTC+0000,0.76
2021-03-26 19:00:00 UTC+0000,1.9625
2021-03-26 23:00:00 UTC+0000,5.9775
2021-03-27 03:00:00 UTC+0000,8.69
2021-03-27 07:00:00 UTC+0000,11.25
2021-03-27 11:00:00 UTC+0000,20.8325
2021-03-27 15:00:00 UTC+0000,6.7
2021-03-27 19:00:00 UTC+0000,3.49
2021-03-27 23:00:00 UTC+0000,6.3333
2021-03-28 02:00:00 UTC+0000,7.75
2021-03-28 06:00:00 UTC+0000,12.095
2021-03-28 10:00:00 UTC+0000,34.5
2021-03-28 14:00:00 UTC+0000,12.23
2021-03-28 18:00:00 UTC+0000,3.6975
2021-03-28 22:00:00 UTC+0000,4.8075
2021-03-29 02:00:00 UTC+0000,5.0
2021-03-29 06:00:00 UTC+0000,4.05
2021-03-29 10:00:00 UTC+0000,10.45
2021-03-29 14:00:00 UTC+0000,4.4025
2021-03-29 18:00:00 UTC+0000,2.1
2021-03-29 22:00:00 UTC+0000,4.0425
2021-03-30 02:00:00 UTC+0000,3.705
2021-03-30 06:00:00 UTC+0000,2.5575
2021-03-30 10:00:00 UTC+0000,8.6675
2021-03-30 14:00:00 UTC+0000,2.775
2021-03-30 18:00:00 UTC+0000,1.295
2021-03-30 22:00:00 UTC+0000,2.95
2021-03-31 02:00:00 UTC+0000,2.3925
2021-03-31 06:00:00 UTC+0000,1.4675
2021-03-31 10:00:00 UTC+0000,6.1675
2021-03-31 14:00:00 UTC+0000,1.6
2021-03-31 18:00:00 UTC+0000,0.87
2021-03-31 22:00:00 UTC+0000,2.25
2021-04-01 02:00:00 UTC+0000,1.7675
2021-04-01 06:00:00 UTC+0000,1.1
2021-04-01 10:00:00 UTC+0000,4.905
2021-04-01 14:00:00 UTC+0000,1.15
2021-04-01 18:00:00 UTC+0000,0.73
2021-04-01 22:00:00 UTC+0000,3.93
2021-04-02 02:00:00 UTC+0000,4.61
2021-04-02 06:00:00 UTC+0000,5.6325
2021-04-02 10:00:00 UTC+0000,31.6675
2021-04-02 14:00:00 UTC+0000,14.45
2021-04-02 18:00:00 UTC+0000,2.8425
2021-04-02 22:00:00 UTC+0000,4.125
2021-04-03 02:00:00 UTC+0000,4.1325
2021-04-03 06:00:00 UTC+0000,4.205
2021-04-03 10:00:00 UTC+0000,17.25
2021-04-03 14:00:00 UTC+0000,7.0
2021-04-03 18:00:00 UTC+0000,2.0
2021-04-03 22:00:00 UTC+0000,3.6325
2021-04-04 02:00:00 UTC+0000,3.67
2021-04-04 06:00:00 UTC+0000,3.9375
