time (UTC),aFRR+_capacity_marginal_price[(EUR/MW)/h]
2021-03-02 03:00:00 UTC+0000,18.22
2021-03-02 07:00:00 UTC+0000,12.4025
2021-03-02 11:00:00 UTC+0000,4.41
2021-03-02 15:00:00 UTC+0000,12.665
2021-03-02 19:00:00 UTC+0000,5.7
2021-03-02 23:00:00 UTC+0000,6.6275
2021-03-03 03:00:00 UTC+0000,10.6675
2021-03-03 07:00:00 UTC+0000,9.7
2021-03-03 11:00:00 UTC+0000,3.4125
2021-03-03 15:00:00 UTC+0000,11.055
2021-03-03 19:00:00 UTC+0000,4.5825
2021-03-03 23:00:00 UTC+0000,4.895
2021-03-04 03:00:00 UTC+0000,10.1675
2021-03-04 07:00:00 UTC+0000,9.8325
2021-03-04 11:00:00 UTC+0000,3.15
2021-03-04 15:00:00 UTC+0000,9.3175
2021-03-04 19:00:00 UTC+0000,3.81
2021-03-04 23:00:00 UTC+0000,4.12
2021-03-05 03:00:00 UTC+0000,14.75
2021-03-05 07:00:00 UTC+0000,9.0725
2021-03-05 11:00:00 UTC+0000,2.61
2021-03-05 15:00:00 UTC+0000,8.39
2021-03-05 19:00:00 UTC+0000,3.435
2021-03-05 23:00:00 UTC+0000,2.5
2021-03-06 03:00:00 UTC+0000,6.725
2021-03-06 07:00:00 UTC+0000,6.18
2021-03-06 11:00:00 UTC+0000,2.01
2021-03-06 15:00:00 UTC+0000,7.5
2021-03-06 19:00:00 UTC+0000,2.705
2021-03-06 23:00:00 UTC+0000,1.8125
2021-03-07 03:00:00 UTC+0000,4.14
2021-03-07 07:00:00 UTC+0000,4.0
2021-03-07 11:00:00 UTC+0000,1.7125
2021-03-07 15:00:00 UTC+0000,6.255
2021-03-07 19:00:00 UTC+0000,2.035
2021-03-07 23:00:00 UTC+0000,14.0
2021-03-08 03:00:00 UTC+0000,23.25
2021-03-08 07:00:00 UTC+0000,14.1225
2021-03-08 11:00:00 UTC+0000,5.3475
2021-03-08 15:00:00 UTC+0000,17.5
2021-03-08 19:00:00 UTC+0000,6.875
2021-03-08 23:00:00 UTC+0000,8.28
2021-03-09 03:00:00 UTC+0000,13.25
2021-03-09 07:00:00 UTC+0000,12.245
2021-03-09 11:00:00 UTC+0000,4.0
2021-03-09 15:00:00 UTC+0000,17.0
2021-03-09 19:00:00 UTC+0000,4.855
2021-03-09 23:00:00 UTC+0000,5.28
2021-03-10 03:00:00 UTC+0000,8.6025
2021-03-10 07:00:00 UTC+0000,9.0
2021-03-10 11:00:00 UTC+0000,2.9
2021-03-10 15:00:00 UTC+0000,9.95
2021-03-10 19:00:00 UTC+0000,3.82
2021-03-10 23:00:00 UTC+0000,3.7625
2021-03-11 03:00:00 UTC+0000,6.705
2021-03-11 07:00:00 UTC+0000,7.88
2021-03-11 11:00:00 UTC+0000,2.65
2021-03-11 15:00:00 UTC+0000,8.4
2021-03-11 19:00:00 UTC+0000,3.315
2021-03-11 23:00:00 UTC+0000,2.9
2021-03-12 03:00:00 UTC+0000,6.76
2021-03-12 07:00:00 UTC+0000,6.845
2021-03-12 11:00:00 UTC+0000,2.13
2021-03-12 15:00:00 UTC+0000,8.18
2021-03-12 19:00:00 UTC+0000,2.875
2021-03-12 23:00:00 UTC+0000,2.1675
2021-03-13 03:00:00 UTC+0000,4.1925
2021-03-13 07:00:00 UTC+0000,4.63
2021-03-13 11:00:00 UTC+0000,1.645
2021-03-13 15:00:00 UTC+0000,7.6475
2021-03-13 19:00:00 UTC+0000,4.14
2021-03-13 23:00:00 UTC+0000,1.9
2021-03-14 03:00:00 UTC+0000,3.6
2021-03-14 07:00:00 UTC+0000,3.565
2021-03-14 11:00:00 UTC+0000,1.665
2021-03-14 15:00:00 UTC+0000,9.7175
2021-03-14 19:00:00 UTC+0000,5.33
2021-03-14 23:00:00 UTC+0000,8.39
2021-03-15 03:00:00 UTC+0000,14.7
2021-03-15 07:00:00 UTC+0000,10.57
2021-03-15 11:00:00 UTC+0000,3.88
2021-03-15 15:00:00 UTC+0000,12.825
2021-03-15 19:00:00 UTC+0000,4.94
2021-03-15 23:00:00 UTC+0000,7.09
2021-03-16 03:00:00 UTC+0000,11.25
2021-03-16 07:00:00 UTC+0000,9.375
2021-03-16 11:00:00 UTC+0000,3.14
2021-03-16 15:00:00 UTC+0000,11.97
2021-03-16 19:00:00 UTC+0000,4.1925
2021-03-16 23:00:00 UTC+0000,5.275
2021-03-17 03:00:00 UTC+0000,9.0
2021-03-17 07:00:00 UTC+0000,9.0
2021-03-17 11:00:00 UTC+0000,2.79
2021-03-17 15:00:00 UTC+0000,11.67
2021-03-17 19:00:00 UTC+0000,3.7
2021-03-17 23:00:00 UTC+0000,4.03
2021-03-18 03:00:00 UTC+0000,7.025
2021-03-18 07:00:00 UTC+0000,8.5
2021-03-18 11:00:00 UTC+0000,2.2475
2021-03-18 15:00:00 UTC+0000,10.995
2021-03-18 19:00:00 UTC+0000,3.345
2021-03-18 23:00:00 UTC+0000,3.31
2021-03-19 03:00:00 UTC+0000,6.26
2021-03-19 07:00:00 UTC+0000,7.325
2021-03-19 11:00:00 UTC+0000,1.9
2021-03-19 15:00:00 UTC+0000,9.94
2021-03-19 19:00:00 UTC+0000,2.785
2021-03-19 23:00:00 UTC+0000,2.455
2021-03-20 03:00:00 UTC+0000,4.78
2021-03-20 07:00:00 UTC+0000,5.08
2021-03-20 11:00:00 UTC+0000,1.4925
2021-03-20 15:00:00 UTC+0000,6.445
2021-03-20 19:00:00 UTC+0000,2.285
2021-03-20 23:00:00 UTC+0000,2.185
2021-03-21 03:00:00 UTC+0000,4.01
2021-03-21 07:00:00 UTC+0000,4.36
2021-03-21 11:00:00 UTC+0000,1.6
2021-03-21 15:00:00 UTC+0000,6.6
2021-03-21 19:00:00 UTC+0000,2.14
2021-03-21 23:00:00 UTC+0000,6.4
2021-03-22 03:00:00 UTC+0000,10.4
2021-03-22 07:00:00 UTC+0000,10.75
2021-03-22 11:00:00 UTC+0000,3.42
2021-03-22 15:00:00 UTC+0000,12.4275
2021-03-22 19:00:00 UTC+0000,4.6
2021-03-22 23:00:00 UTC+0000,5.13
2021-03-23 03:00:00 UTC+0000,8.54
2021-03-23 07:00:00 UTC+0000,9.0875
2021-03-23 11:00:00 UTC+0000,2.685
2021-03-23 15:00:00 UTC+0000,11.5575
2021-03-23 19:00:00 UTC+0000,3.695
2021-03-23 23:00:00 UTC+0000,3.75
2021-03-24 03:00:00 UTC+0000,6.4625
2021-03-24 07:00:00 UTC+0000,7.9325
2021-03-24 11:00:00 UTC+0000,2.11
2021-03-24 15:00:00 UTC+0000,10.1825
2021-03-24 19:00:00 UTC+0000,3.17
2021-03-24 23:00:00 UTC+0000,3.01
2021-03-25 03:00:00 UTC+0000,5.7
2021-03-25 07:00:00 UTC+0000,7.0675
2021-03-25 11:00:00 UTC+0000,1.865
2021-03-25 15:00:00 UTC+0000,9.345
2021-03-25 19:00:00 UTC+0000,2.7375
2021-03-25 23:00:00 UTC+0000,2.475
2021-03-26 03:00:00 UTC+0000,4.86
2021-03-26 07:00:00 UTC+0000,6.175
2021-03-26 11:00:00 UTC+0000,1.5575
2021-03-26 15:00:00 UTC+0000,8.095
2021-03-26 19:00:00 UTC+0000,2.47
2021-03-26 23:00:00 UTC+0000,1.9675
2021-03-27 03:00:00 UTC+0000,3.87
2021-03-27 07:00:00 UTC+0000,4.5425
2021-03-27 11:00:00 UTC+0000,1.35
2021-03-27 15:00:00 UTC+0000,8.0425
2021-03-27 19:00:00 UTC+0000,3.2475
2021-03-27 23:00:00 UTC+0000,2.1
2021-03-28 02:00:00 UTC+0000,3.15
2021-03-28 06:00:00 UTC+0000,3.595
2021-03-28 10:00:00 UTC+0000,1.185
2021-03-28 14:00:00 UTC+0000,6.87
2021-03-28 18:00:00 UTC+0000,10.13
2021-03-28 22:00:00 UTC+0000,4.89
2021-03-29 02:00:00 UTC+0000,8.2825
2021-03-29 06:00:00 UTC+0000,9.455
2021-03-29 10:00:00 UTC+0000,2.65
2021-03-29 14:00:00 UTC+0000,11.6
2021-03-29 18:00:00 UTC+0000,4.77
2021-03-29 22:00:00 UTC+0000,3.88
2021-03-30 02:00:00 UTC+0000,6.4
2021-03-30 06:00:00 UTC+0000,9.0625
2021-03-30 10:00:00 UTC+0000,2.205
2021-03-30 14:00:00 UTC+0000,9.78
2021-03-30 18:00:00 UTC+0000,3.83
2021-03-30 22:00:00 UTC+0000,2.9
2021-03-31 02:00:00 UTC+0000,5.275
2021-03-31 06:00:00 UTC+0000,7.4975
2021-03-31 10:00:00 UTC+0000,1.705
2021-03-31 14:00:00 UTC+0000,8.7225
2021-03-31 18:00:00 UTC+0000,3.2
2021-03-31 22:00:00 UTC+0000,2.1325
2021-04-01 02:00:00 UTC+0000,4.22
2021-04-01 06:00:00 UTC+0000,6.08
2021-04-01 10:00:00 UTC+0000,1.45
2021-04-01 14:00:00 UTC+0000,7.39
2021-04-01 18:00:00 UTC+0000,2.595
2021-04-01 22:00:00 UTC+0000,1.855
2021-04-02 02:00:00 UTC+0000,3.5625
2021-04-02 06:00:00 UTC+0000,5.245
2021-04-02 10:00:00 UTC+0000,1.3
2021-04-02 14:00:00 UTC+0000,6.69
2021-04-02 18:00:00 UTC+0000,2.85
2021-04-02 22:00:00 UTC+0000,1.53
2021-04-03 02:00:00 UTC+0000,3.065
2021-04-03 06:00:00 UTC+0000,4.28
2021-04-03 10:00:00 UTC+0000,1.2
2021-04-03 14:00:00 UTC+0000,5.9425
2021-04-03 18:00:00 UTC+0000,7.445
2021-04-03 22:00:00 UTC+0000,1.41
2021-04-04 02:00:00 UTC+0000,2.725
2021-04-04 06:00:00 UTC+0000,4.17
2021-04-04 10:00:00 UTC+0000,1.25
2021-04-04 14:00:00 UTC+0000,7.225
2021-04-04 18:00:00 UTC+0000,8.7775
2021-04-04 22:00:00 UTC+0000,3.9
2021-04-05 02:00:00 UTC+0000,3.95
2021-04-05 06:00:00 UTC+0000,4.08
2021-04-05 10:00:00 UTC+0000,4.165
2021-04-05 14:00:00 UTC+0000,9.025
