time (UTC),mFRR-_capacity_marginal_price[(EUR/MW)/h]
2021-03-27 23:00:00 UTC+0000,1.6667
2021-03-28 02:00:00 UTC+0000,1.63
2021-03-28 06:00:00 UTC+0000,8.5
2021-03-28 10:00:00 UTC+0000,23.5
2021-03-28 14:00:00 UTC+0000,5.5
2021-03-28 18:00:00 UTC+0000,0.755
2021-03-28 22:00:00 UTC+0000,1.1
2021-03-29 02:00:00 UTC+0000,1.0
2021-03-29 06:00:00 UTC+0000,1.4
2021-03-29 10:00:00 UTC+0000,3.365
2021-03-29 14:00:00 UTC+0000,1.8625
2021-03-29 18:00:00 UTC+0000,0.3
2021-03-29 22:00:00 UTC+0000,0.7
2021-03-30 02:00:00 UTC+0000,0.8675
2021-03-30 06:00:00 UTC+0000,0.89
2021-03-30 10:00:00 UTC+0000,6.67
2021-03-30 14:00:00 UTC+0000,0.8125
2021-03-30 18:00:00 UTC+0000,0.195
2021-03-30 22:00:00 UTC+0000,0.3625
2021-03-31 02:00:00 UTC+0000,0.485
2021-03-31 06:00:00 UTC+0000,0.445
2021-03-31 10:00:00 UTC+0000,2.5
2021-03-31 14:00:00 UTC+0000,0.4925
2021-03-31 18:00:00 UTC+0000,0.15
2021-03-31 22:00:00 UTC+0000,0.25
2021-04-01 02:00:00 UTC+0000,0.25
2021-04-01 06:00:00 UTC+0000,0.3125
2021-04-01 10:00:00 UTC+0000,1.75
2021-04-01 14:00:00 UTC+0000,0.35
2021-04-01 18:00:00 UTC+0000,0.15
2021-04-01 22:00:00 UTC+0000,0.9
2021-04-02 02:00:00 UTC+0000,1.25
2021-04-02 06:00:00 UTC+0000,4.0
2021-04-02 10:00:00 UTC+0000,23.5
2021-04-02 14:00:00 UTC+0000,9.75
2021-04-02 18:00:00 UTC+0000,1.1875
2021-04-02 22:00:00 UTC+0000,0.6025
2021-04-03 02:00:00 UTC+0000,0.75
2021-04-03 06:00:00 UTC+0000,2.5
2021-04-03 10:00:00 UTC+0000,10.25
2021-04-03 14:00:00 UTC+0000,4.0
2021-04-03 18:00:00 UTC+0000,0.6375
2021-04-03 22:00:00 UTC+0000,0.5
2021-04-04 02:00:00 UTC+0000,0.585
2021-04-04 06:00:00 UTC+0000,1.845
2021-04-04 10:00:00 UTC+0000,10.0075
2021-04-04 14:00:00 UTC+0000,4.3
2021-04-04 18:00:00 UTC+0000,0.5
2021-04-04 22:00:00 UTC+0000,5.0
2021-04-05 02:00:00 UTC+0000,6.225
2021-04-05 06:00:00 UTC+0000,12.5
2021-04-05 10:00:00 UTC+0000,43.25
