time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-02-16 07:00:00 UTC+0000,0.75,0.9175,0.9175,1.7675
2021-02-16 11:00:00 UTC+0000,1.2525,1.92,1.92,1.25
2021-02-16 15:00:00 UTC+0000,0.775,0.85,0.85,0.9925
2021-02-16 19:00:00 UTC+0000,1.52,1.145,1.145,1.3625
2021-02-16 23:00:00 UTC+0000,8.51,4.775,4.775,8.1675
2021-02-17 03:00:00 UTC+0000,6.5975,2.06,2.06,4.3425
2021-02-17 07:00:00 UTC+0000,1.7,0.75,0.75,1.25
2021-02-17 11:00:00 UTC+0000,1.5,1.2525,1.2525,1.035
2021-02-17 15:00:00 UTC+0000,1.75,0.775,0.775,0.875
2021-02-17 19:00:00 UTC+0000,1.3675,1.52,1.52,1.2
2021-02-17 23:00:00 UTC+0000,6.985,8.51,8.51,7.34
2021-02-18 03:00:00 UTC+0000,4.1325,6.5975,6.5975,3.1125
2021-02-18 07:00:00 UTC+0000,1.25,1.7,1.7,0.9375
2021-02-18 11:00:00 UTC+0000,1.5,1.5,1.5,0.8275
2021-02-18 15:00:00 UTC+0000,1.5125,1.75,1.75,0.7125
2021-02-18 19:00:00 UTC+0000,3.4825,1.3675,1.3675,0.94
2021-02-18 23:00:00 UTC+0000,9.5525,6.985,6.985,6.5
2021-02-19 03:00:00 UTC+0000,4.695,4.1325,4.1325,2.5
2021-02-19 07:00:00 UTC+0000,1.1125,1.25,1.25,0.82
2021-02-19 11:00:00 UTC+0000,1.25,1.5,1.5,0.925
2021-02-19 15:00:00 UTC+0000,1.21,1.5125,1.5125,0.75
2021-02-19 19:00:00 UTC+0000,1.875,3.4825,3.4825,1.03
2021-02-19 23:00:00 UTC+0000,6.0,5.79,9.5525,5.79
2021-02-20 03:00:00 UTC+0000,3.94,2.06,4.695,2.06
2021-02-20 07:00:00 UTC+0000,1.5,0.84,1.1125,0.84
2021-02-20 11:00:00 UTC+0000,5.0,0.8475,1.25,0.8475
2021-02-20 15:00:00 UTC+0000,1.4025,0.7025,1.21,0.7025
2021-02-20 19:00:00 UTC+0000,4.265,1.25,1.875,1.25
2021-02-20 23:00:00 UTC+0000,19.25,5.01,6.0,5.01
2021-02-21 03:00:00 UTC+0000,19.5,1.775,3.94,1.775
2021-02-21 07:00:00 UTC+0000,5.13,1.005,1.5,1.005
2021-02-21 11:00:00 UTC+0000,5.87,4.3,5.0,4.3
2021-02-21 15:00:00 UTC+0000,1.53,0.97,1.4025,0.97
2021-02-21 19:00:00 UTC+0000,2.78,1.25,4.265,1.25
2021-02-21 23:00:00 UTC+0000,13.75,9.5525,19.25,5.95
