time (UTC),ground truth,Forecast: Benchmark Lag-1d (mod),Forecast: Benchmark Lag-1d,Forecast: Benchmark Lag-7d
2021-03-08 03:00:00 UTC+0000,7.72,16.7,3.0,10.9275
2021-03-08 07:00:00 UTC+0000,10.67,14.58,3.2,11.32
2021-03-08 11:00:00 UTC+0000,2.89,2.02,0.8725,3.7525
2021-03-08 15:00:00 UTC+0000,13.425,9.75,5.75,11.3225
2021-03-08 19:00:00 UTC+0000,3.625,2.75,1.35,4.56
2021-03-08 23:00:00 UTC+0000,1.91,2.43,2.43,5.0
2021-03-09 03:00:00 UTC+0000,6.0,7.72,7.72,8.0
2021-03-09 07:00:00 UTC+0000,11.75,10.67,10.67,13.625
2021-03-09 11:00:00 UTC+0000,2.25,2.89,2.89,3.0
2021-03-09 15:00:00 UTC+0000,13.72,13.425,13.425,14.58
2021-03-09 19:00:00 UTC+0000,3.0,3.625,3.625,3.88
2021-03-09 23:00:00 UTC+0000,1.38,1.91,1.91,3.5
2021-03-10 03:00:00 UTC+0000,5.0275,6.0,6.0,10.25
2021-03-10 07:00:00 UTC+0000,8.7,11.75,11.75,11.5
2021-03-10 11:00:00 UTC+0000,2.07,2.25,2.25,3.25
2021-03-10 15:00:00 UTC+0000,7.8325,13.72,13.72,11.25
